diagnosis_code,procedure_code,compatible,procedure_category,pair_risk_prior
D10,PROC1,0,General,0.75
D10,PROC2,1,Cardiac,0.38
D10,PROC3,0,General,0.75
D10,PROC4,0,Orthopedic,0.75
D10,PROC5,1,Advanced,0.38
D10,PROC6,0,Basic,0.75
D20,PROC1,0,General,0.75
D20,PROC2,0,Cardiac,0.84
D20,PROC3,1,General,0.29
D20,PROC4,1,Orthopedic,0.29
D20,PROC5,0,Advanced,0.84
D20,PROC6,0,Basic,0.75
D30,PROC1,1,General,0.18
D30,PROC2,0,Cardiac,0.73
D30,PROC3,0,General,0.64
D30,PROC4,0,Orthopedic,0.64
D30,PROC5,0,Advanced,0.73
D30,PROC6,1,Basic,0.18
D40,PROC1,1,General,0.18
D40,PROC2,0,Cardiac,0.73
D40,PROC3,0,General,0.64
D40,PROC4,0,Orthopedic,0.64
D40,PROC5,0,Advanced,0.73
D40,PROC6,1,Basic,0.18
D50,PROC1,0,General,0.75
D50,PROC2,1,Cardiac,0.38
D50,PROC3,0,General,0.75
D50,PROC4,0,Orthopedic,0.75
D50,PROC5,1,Advanced,0.38
D50,PROC6,0,Basic,0.75
D60,PROC1,0,General,0.64
D60,PROC2,0,Cardiac,0.73
D60,PROC3,0,General,0.64
D60,PROC4,0,Orthopedic,0.64
D60,PROC5,0,Advanced,0.73
D60,PROC6,1,Basic,0.18
